,Vol % (standardize 252 days 21d window),Drawdown %,VaR daily % (parametrical 95.0% confidence),Sharpe (21d window),Beta (252d window),Portfolio return cumulative %,Portfolio NAV,Benchmark NAV,CDI (a.d.),CDI (a.d.) accumulated,Portfolio return %
2025-03-31,,0.0,,,,0.0,100000000.0,100000000.0,,0.0,0.0
2025-04-01,,0.0,0.019655061511962703,,1.0917968517842154,0.0196532091295063,101965320.91295063,100052531.0,0.0005253100000000001,0.000525310000000001,0.019653209129506258
2025-04-02,,0.0,0.01966853740097953,,1.0918550101408968,0.026633275700176373,102663327.57001764,100105089.59505962,0.0005253100000000001,0.0010508959505961535,0.0068455299391733115
2025-04-03,,0.0,0.019670560686025653,,1.0928222839345922,0.02928770408663417,102928770.40866342,100157675.79967481,0.0005253100000000001,0.0015767579967480572,0.0025855662867028673
2025-04-04,,-0.036049570187304446,0.02000820033173296,,1.0972566929670375,-0.007817675244766398,99218232.47552337,100210289.62834913,0.0005253100000000001,0.0021028962834912512,-0.03604957018730445
2025-04-07,,-0.048554975730653045,0.020050777925643547,,1.096153446108395,-0.020689335405151943,97931066.4594848,100262931.0955938,0.0005253100000000001,0.0026293109559378802,-0.012973079482705846
2025-04-08,,-0.056339769830512976,0.02006310950352592,,1.0923829509254477,-0.02870212825098395,97129787.1749016,100315600.21592763,0.0005253100000000001,0.00315600215927625,-0.008182074530095118
2025-04-09,,-0.023424333328682507,0.02038385584454481,,1.1030021152314609,0.005177325814994527,100517732.58149946,100368297.00387706,0.0005253100000000001,0.0036829700387706055,0.034880601565585284
2025-04-10,,-0.044476323237788724,0.02049116692689063,,1.1083534903044014,-0.0164912285450044,98350877.14549956,100421021.47397615,0.0005253100000000001,0.004210214739761575,-0.02155694702169106
2025-04-11,,-0.0340315812237517,0.0204616641356842,,1.1082839468522796,-0.005740584017599026,99425941.59824009,100473773.64076667,0.0005253100000000001,0.004737736407666615,0.010930908639991938
2025-04-14,,-0.0324315440069598,0.020456051166959605,,1.099982488393832,-0.004093685384274126,99590631.46157259,100526553.51879789,0.0005253100000000001,0.005265535187978898,0.0016564073790516776
